,lk,sj,minut,flow_all,flow_e_l,flow_e_s,flow_e_r,flow_w_l,flow_w_s,flow_w_r,flow_s_l,flow_s_s,flow_s_r,flow_n_l,flow_n_s,flow_n_r
0,#GS005,2019-11-10 14:50,0,886.0,17.0,336.0,20.0,83.0,258.0,12.0,6.0,4.0,38.0,51.0,40.0,70.0
0,#GS017,2019-11-10 14:50,0,932.0,18.0,351.0,100.0,32.0,346.0,5.0,14.0,45.0,9.0,87.0,63.0,11.0
0,#GS011,2019-11-10 14:50,0,604.0,16.0,252.0,24.0,30.0,269.0,11.0,13.0,42.0,8.0,30.0,57.0,29.0
0,#GS002,2019-11-10 14:50,0,317.0,13.0,254.0,26.0,25.0,60.0,10.0,11.0,36.0,7.0,36.0,51.0,20.0
0,#GS010,2019-11-10 14:50,0,1271.0,44.0,251.0,84.0,58.0,178.0,44.0,80.0,116.0,10.0,93.0,306.0,17.0
0,#GS024,2019-11-10 14:50,0,599.0,16.0,19.0,73.0,25.0,54.0,85.0,39.0,57.0,162.0,12.0,40.0,31.0
0,#GS033,2019-11-10 14:50,0,107.0,12.0,76.0,107.0,23.0,58.0,9.0,10.0,35.0,7.0,25.0,48.0,19.0
0,#GS031,2019-11-10 14:50,0,27.0,12.0,16.0,10.0,22.0,56.0,9.0,1.0,34.0,7.0,25.0,46.0,19.0
0,#GS035,2019-11-10 14:50,0,493.0,14.0,82.0,17.0,114.0,62.0,39.0,62.0,51.0,27.0,96.0,104.0,22.0
0,#GS006,2019-11-10 14:50,0,522.0,5.0,75.0,50.0,57.0,82.0,2.0,12.0,9.0,5.0,44.0,127.0,66.0
0,#GS004,2019-11-10 14:50,0,412.0,41.0,114.0,17.0,26.0,62.0,10.0,12.0,38.0,7.0,66.0,191.0,21.0
0,#GS012,2019-11-10 14:50,0,336.0,13.0,50.0,0.0,46.0,38.0,10.0,11.0,37.0,7.0,42.0,51.0,160.0
0,#GS009,2019-11-10 14:50,0,1120.0,19.0,363.0,21.0,36.0,246.0,13.0,15.0,222.0,10.0,34.0,291.0,28.0
0,#GS007,2019-11-10 14:50,0,534.0,30.0,57.0,42.0,9.0,12.0,12.0,8.0,142.0,23.0,52.0,135.0,12.0
0,#GS008,2019-11-10 14:50,0,943.0,89.0,126.0,35.0,40.0,144.0,61.0,44.0,169.0,37.0,30.0,144.0,24.0
